-32656	  -2147480648	     -9.000	xx                                                                                                                                     	cc                                                                                                                                     	yy                                                                                                                                             	     64.000	-32556	yyy                                                                                                                                    	   -343.000	  -2147477648	ccc                                                                               	   1296.000	-32456	yyyy                     	  -3125.000	xxx                                                                                                                   	  -2147474648	-32356	y    	   4096.000	cccc                                       	  -2147471648	  -2187.000	xxxx                    	-32256	ccccc     	-32156	xxxxx                  	  -2147468648	    256.000	-32056
-31956	  -2147465648	     -1.000	xxxxxx                                                                                                                                 	cccccc                                                                                                                                 	yy                                                                                                                                             	      0.000	-31856	yyy                                                                                                                                    	      1.000	  -2147462648	ccccccc                                                                           	   4096.000	-31756	yyyy                     	1594323.000	xxxxxxx                                                                                                               	  -2147459648	-31656	y    	 26.843e+07	cccccccc                                   	  -2147456648	 30.517e+09	xxxxxxxx                	-31556	ccccccccc 	-31456	xxxxxxxxx              	  -2147453648	 28.211e+11	-31356
-31256	  -2147450648	 23.263e+13	xxxxxxxxxx                                                                                                                             	cccccccccc                                                                                                                             	yy                                                                                                                                             	 18.014e+15	-31156	yyy                                                                                                                                    	 13.508e+17	  -2147447648	ccccccccccc                                                                       	 10.000e+19	-31056	yyyy                     	-10.000e+20	xxxxxxxxxxx                                                                                                           	  -2147444648	-30956	y    	 98.477e+19	cccccccccccc                               	  -2147441648	-59.030e+19	xxxxxxxxxxxx            	-30856	cccccccccc	-30756	xxxxxxxxxxxxx          	  -2147438648	 19.158e+19	-30656
-30556	  -2147435648	-28.430e+18	xxxxxxxxxxxxxx                                                                                                                         	cccccccccccccc                                                                                                                         	yy                                                                                                                                             	 14.901e+17	-30456	yyy                                                                                                                                    	-18.014e+15	  -2147432648	ccccccccccccccc                                                                   	 22.876e+12	-30356	yyyy                     	-53.687e+07	xxxxxxxxxxxxxxx                                                                                                       	  -2147429648	-30256	y    	      1.000	cccccccccccccccc                           	  -2147426648	      0.000	xxxxxxxxxxxxxxxx        	-30156	cccccccccc	-30056	xxxxxxxxxxxxxxxxx      	  -2147423648	      1.000	-29956
-29856	  -2147420648	 85.899e+08	xxxxxxxxxxxxxxxxxx                                                                                                                     	cccccccccccccccccc                                                                                                                     	yy                                                                                                                                             	 16.677e+15	-29756	yyy                                                                                                                                    	 11.805e+20	  -2147417648	ccccccccccccccccccc                                                               	 14.551e+24	-29656	yyyy                     	 61.886e+27	xxxxxxxxxxxxxxxxxxx                                                                                                   	  -2147414648	-29556	y    	 12.993e+31	cccccccccccccccccccc                       	  -2147411648	 16.615e+34	xxxxxxxxxxxxxxxxxxxx    	-29456	cccccccccc	-29356	xxxxxxxxxxxxxxxxxxxxx  	  -2147408648	      9.000	-29256
-29156	  -2147405648	    100.000	xxxxxxxxxxxxxxxxxxxxxx                                                                                                                 	cccccccccccccccccccccc                                                                                                                 	yy                                                                                                                                             	  -1000.000	-29056	yyy                                                                                                                                    	   6561.000	  -2147402648	ccccccccccccccccccccccc                                                           	 -32768.000	-28956	yyyy                     	 117649.000	xxxxxxxxxxxxxxxxxxxxxxx                                                                                               	  -2147399648	-28856	y    	-279936.000	cccccccccccccccccccccccc                   	  -2147396648	 390625.000	x                       	-28756	cccccccccc	-28656	xx                     	  -2147393648	-262144.000	-28556
-28456	  -2147390648	  59049.000	xxx                                                                                                                                    	cccccccccccccccccccccccccc                                                                                                             	yy                                                                                                                                             	  -2048.000	-28356	yyy                                                                                                                                    	      1.000	  -2147387648	ccccccccccccccccccccccccccc                                                       	      0.000	-28256	yyyy                     	      1.000	xxxx                                                                                                                  	  -2147384648	-28156	y    	  32768.000	cccccccccccccccccccccccccccc               	  -2147381648	 43.046e+06	xxxxx                   	-28056	cccccccccc	-27956	xxxxxx                 	  -2147378648	 17.179e+09	-27856
-27756	  -2147375648	 38.147e+11	xxxxxxx                                                                                                                                	cccccccccccccccccccccccccccccc                                                                                                         	yy                                                                                                                                             	 60.936e+13	-27656	yyy                                                                                                                                    	 79.792e+15	  -2147372648	ccccccccccccccccccccccccccccccc                                                   	 92.233e+17	-27556	yyyy                     	 98.477e+19	xxxxxxxx                                                                                                              	  -2147369648	-27456	y    	 10.000e+22	cccccccccccccccccccccccccccccccc           	  -2147366648	 10.000e+23	xxxxxxxxx               	-27356	cccccccccc	-27256	xxxxxxxxxx             	  -2147363648	-71.790e+22	-27156
-27056	  -2147360648	 30.223e+22	xxxxxxxxxxx                                                                                                                            	cccccccccccccccccccccccccccccccccc                                                                                                     	yy                                                                                                                                             	-65.712e+21	-26956	yyy                                                                                                                                    	 61.409e+20	  -2147357648	ccccccccccccccccccccccccccccccccccc                                               	-18.626e+19	-26856	yyyy                     	 11.529e+17	xxxxxxxxxxxx                                                                                                          	  -2147354648	-26756	y    	-61.767e+13	cccccccccccccccccccccccccccccccccccc       	  -2147351648	 42.949e+08	xxxxxxxxxxxxx           	-26656	cccccccccc	-26556	xxxxxxxxxxxxxx         	  -2147348648	     -1.000	-26456
-26356	  -2147345648	      0.000	xxxxxxxxxxxxxxx                                                                                                                        	cccccccccccccccccccccccccccccccccccccc                                                                                                 	yy                                                                                                                                             	      1.000	-26256	yyy                                                                                                                                    	 68.719e+09	  -2147342648	ccccccccccccccccccccccccccccccccccccccc                                           	 45.028e+16	-26156	yyyy                     	 75.557e+21	xxxxxxxxxxxxxxxx                                                                                                      	  -2147339648	-26056	y    	 18.189e+26	cccccccccccccccccccccccccccccccccccccccc   	  -2147336648	      6.000	xxxxxxxxxxxxxxxxx       	-25956	cccccccccc	-25856	xxxxxxxxxxxxxxxxxx     	  -2147333648	     49.000	-25756
-25656	  -2147330648	    512.000	xxxxxxxxxxxxxxxxxxx                                                                                                                    	cccccccccccccccccccccccccccccccccccccccccc                                                                                             	yy                                                                                                                                             	   6561.000	-25556	yyy                                                                                                                                    	 100000.000	  -2147327648	ccccccccccccccccccccccccccccccccccccccccccc                                       	1000000.000	-25456	yyyy                     	-47.830e+05	xxxxxxxxxxxxxxxxxxxx                                                                                                  	  -2147324648	-25356	y    	 16.777e+06	ccccccccccccccccccccccccccccccccccccccccccc	  -2147321648	-40.354e+06	xxxxxxxxxxxxxxxxxxxxx   	-25256	cccccccccc	-25156	xxxxxxxxxxxxxxxxxxxxxx 	  -2147318648	 60.466e+06	-25056
