            0	            0	            0	            0	            0	    9000000000

            1	            1	            1	            1	            1	    9000000001

            2	            2	            2	            2	            2	    9000000002

            3	            3	            3	            3	            3	    9000000003

            4	            0	            4	            4	            4	    9000000004

            5	            1	            5	            5	            5	    9000000005

            6	            2	            6	            6	            6	    9000000006

            7	            3	            7	            7	            7	    9000000007

            8	            0	            8	            8	            8	    9000000008

            9	            1	            9	            9	            9	    9000000009

           10	            2	           10	           10	           10	    9000000010

           11	            3	           11	           11	           11	    9000000011

           12	            0	           12	           12	           12	    9000000012

           13	            1	           13	           13	           13	    9000000013

           14	            2	           14	           14	           14	    9000000014

           15	            3	           15	           15	           15	    9000000015

           16	            0	           16	           16	           16	    9000000016

           17	            1	           17	           17	           17	    9000000017

           18	            2	           18	           18	           18	    9000000018

           19	            3	           19	           19	           19	    9000000019

           20	            0	           20	           20	           20	    9000000020

           21	            1	           21	           21	           21	    9000000021

           22	            2	           22	           22	           22	    9000000022

           23	            3	           23	           23	           23	    9000000023

           24	            0	           24	           24	           24	    9000000024

           25	            1	           25	           25	           25	    9000000025

           26	            2	           26	           26	           26	    9000000026

           27	            3	           27	           27	           27	    9000000027

           28	            0	           28	           28	           28	    9000000028

           29	            1	           29	           29	           29	    9000000029

           30	            2	           30	           30	           30	    9000000030

           31	            3	           31	           31	           31	    9000000031

           32	            0	           32	           32	           32	    9000000032

           33	            1	           33	           33	           33	    9000000033

           34	            2	           34	           34	           34	    9000000034

           35	            3	           35	           35	           35	    9000000035

           36	            0	           36	           36	           36	    9000000036

           37	            1	           37	           37	           37	    9000000037

           38	            2	           38	           38	           38	    9000000038

           39	            3	           39	           39	           39	    9000000039

           40	            0	           40	           40	           40	    9000000040

           41	            1	           41	           41	           41	    9000000041

           42	            2	           42	           42	           42	    9000000042

           43	            3	           43	           43	           43	    9000000043

           44	            0	           44	           44	           44	    9000000044

           45	            1	           45	           45	           45	    9000000045

           46	            2	           46	           46	           46	    9000000046

           47	            3	           47	           47	           47	    9000000047

           48	            0	           48	           48	           48	    9000000048

           49	            1	           49	           49	           49	    9000000049

           50	            2	           50	           50	           50	    9000000050

           51	            3	           51	           51	           51	    9000000051

           52	            0	           52	           52	           52	    9000000052

           53	            1	           53	           53	           53	    9000000053

           54	            2	           54	           54	           54	    9000000054

           55	            3	           55	           55	           55	    9000000055

           56	            0	           56	           56	           56	    9000000056

           57	            1	           57	           57	           57	    9000000057

           58	            2	           58	           58	           58	    9000000058

           59	            3	           59	           59	           59	    9000000059

