    40000	    800000000	    6000000

    40001	    800000001	    6000001

    40002	    800000002	    6000002

    40003	    800000003	    6000003

    40004	    800000004	    6000004

    40005	    800000005	    6000005

    40006	    800000006	    6000006

    40007	    800000007	    6000007

    40008	    800000008	    6000008

    40009	    800000009	    6000009

    40010	    800000010	    6000010

    40011	    800000011	    6000011

    40012	    800000012	    6000012

    40013	    800000013	    6000013

    40014	    800000014	    6000014

    40015	    800000015	    6000015

    40016	    800000016	    6000016

    40017	    800000017	    6000017

    40018	    800000018	    6000018

    40019	    800000019	    6000019

    40020	    800000020	    6000020

    40021	    800000021	    6000021

    40022	    800000022	    6000022

    40023	    800000023	    6000023

    40024	    800000024	    6000024

    40025	    800000025	    6000025

    40026	    800000026	    6000026

    40027	    800000027	    6000027

    40028	    800000028	    6000028

    40029	    800000029	    6000029

    40030	    800000030	    6000030

    40031	    800000031	    6000031

    40032	    800000032	    6000032

    40033	    800000033	    6000033

    40034	    800000034	    6000034

    40035	    800000035	    6000035

    40036	    800000036	    6000036

    40037	    800000037	    6000037

    40038	    800000038	    6000038

    40039	    800000039	    6000039

    40040	    800000040	    6000040

    40041	    800000041	    6000041

    40042	    800000042	    6000042

    40043	    800000043	    6000043

    40044	    800000044	    6000044

    40045	    800000045	    6000045

    40046	    800000046	    6000046

    40047	    800000047	    6000047

    40048	    800000048	    6000048

    40049	    800000049	    6000049

    40050	    800000050	    6000050

    40051	    800000051	    6000051

    40052	    800000052	    6000052

    40053	    800000053	    6000053

    40054	    800000054	    6000054

    40055	    800000055	    6000055

    40056	    800000056	    6000056

    40057	    800000057	    6000057

    40058	    800000058	    6000058

    40059	    800000059	    6000059

    40060	    800000060	    6000060

    40061	    800000061	    6000061

    40062	    800000062	    6000062

    40063	    800000063	    6000063

    40064	    800000064	    6000064

    40065	    800000065	    6000065

    40066	    800000066	    6000066

    40067	    800000067	    6000067

    40068	    800000068	    6000068

    40069	    800000069	    6000069

    40070	    800000070	    6000070

    40071	    800000071	    6000071

    40072	    800000072	    6000072

    40073	    800000073	    6000073

    40074	    800000074	    6000074

    40075	    800000075	    6000075

    40076	    800000076	    6000076

    40077	    800000077	    6000077

    40078	    800000078	    6000078

    40079	    800000079	    6000079

    40080	    800000080	    6000080

    40081	    800000081	    6000081

    40082	    800000082	    6000082

    40083	    800000083	    6000083

    40084	    800000084	    6000084

    40085	    800000085	    6000085

    40086	    800000086	    6000086

    40087	    800000087	    6000087

    40088	    800000088	    6000088

    40089	    800000089	    6000089

    40090	    800000090	    6000090

    40091	    800000091	    6000091

    40092	    800000092	    6000092

    40093	    800000093	    6000093

    40094	    800000094	    6000094

    40095	    800000095	    6000095

    40096	    800000096	    6000096

    40097	    800000097	    6000097

    40098	    800000098	    6000098

    40099	    800000099	    6000099

    40100	    800000100	    6000100

    40101	    800000101	    6000101

    40102	    800000102	    6000102

    40103	    800000103	    6000103

    40104	    800000104	    6000104

    40105	    800000105	    6000105

    40106	    800000106	    6000106

    40107	    800000107	    6000107

    40108	    800000108	    6000108

    40109	    800000109	    6000109

    40110	    800000110	    6000110

    40111	    800000111	    6000111

    40112	    800000112	    6000112

    40113	    800000113	    6000113

    40114	    800000114	    6000114

    40115	    800000115	    6000115

    40116	    800000116	    6000116

    40117	    800000117	    6000117

    40118	    800000118	    6000118

    40119	    800000119	    6000119

    40120	    800000120	    6000120

    40121	    800000121	    6000121

    40122	    800000122	    6000122

    40123	    800000123	    6000123

    40124	    800000124	    6000124

    40125	    800000125	    6000125

    40126	    800000126	    6000126

    40127	    800000127	    6000127

    40128	    800000128	    6000128

    40129	    800000129	    6000129

    40130	    800000130	    6000130

    40131	    800000131	    6000131

    40132	    800000132	    6000132

    40133	    800000133	    6000133

    40134	    800000134	    6000134

    40135	    800000135	    6000135

    40136	    800000136	    6000136

    40137	    800000137	    6000137

