    40000	    6000000	     0	    9000000000

    40001	    6000001	   100	    9000000001

    40002	    6000002	   200	    9000000002

    40003	    6000003	   300	    9000000003

    40004	    6000004	   400	    9000000004

    40005	    6000005	   500	    9000000005

    40006	    6000006	   600	    9000000006

    40007	    6000007	   700	    9000000007

    40008	    6000008	   800	    9000000008

    40009	    6000009	   900	    9000000009

    40010	    6000010	  1000	    9000000010

    40011	    6000011	  1100	    9000000011

    40012	    6000012	  1200	    9000000012

    40013	    6000013	  1300	    9000000013

    40014	    6000014	  1400	    9000000014

    40015	    6000015	  1500	    9000000015

    40016	    6000016	  1600	    9000000016

    40017	    6000017	  1700	    9000000017

    40018	    6000018	  1800	    9000000018

    40019	    6000019	  1900	    9000000019

    40020	    6000020	  2000	    9000000020

    40021	    6000021	  2100	    9000000021

    40022	    6000022	  2200	    9000000022

    40023	    6000023	  2300	    9000000023

    40024	    6000024	  2400	    9000000024

    40025	    6000025	  2500	    9000000025

    40026	    6000026	  2600	    9000000026

    40027	    6000027	  2700	    9000000027

    40028	    6000028	  2800	    9000000028

    40029	    6000029	  2900	    9000000029

    40030	    6000030	  3000	    9000000030

    40031	    6000031	  3100	    9000000031

    40032	    6000032	  3200	    9000000032

    40033	    6000033	  3300	    9000000033

    40034	    6000034	  3400	    9000000034

    40035	    6000035	  3500	    9000000035

    40036	    6000036	  3600	    9000000036

    40037	    6000037	  3700	    9000000037

    40038	    6000038	  3800	    9000000038

    40039	    6000039	  3900	    9000000039

    40040	    6000040	  4000	    9000000040

    40041	    6000041	  4100	    9000000041

    40042	    6000042	  4200	    9000000042

    40043	    6000043	  4300	    9000000043

    40044	    6000044	  4400	    9000000044

    40045	    6000045	  4500	    9000000045

    40046	    6000046	  4600	    9000000046

    40047	    6000047	  4700	    9000000047

    40048	    6000048	  4800	    9000000048

    40049	    6000049	  4900	    9000000049

    40050	    6000050	  5000	    9000000050

    40051	    6000051	  5100	    9000000051

    40052	    6000052	  5200	    9000000052

    40053	    6000053	  5300	    9000000053

    40054	    6000054	  5400	    9000000054

    40055	    6000055	  5500	    9000000055

    40056	    6000056	  5600	    9000000056

    40057	    6000057	  5700	    9000000057

    40058	    6000058	  5800	    9000000058

