-32656	  -2147480648	     -9.000	    1y    1c
-32556	  -2147477648	     64.000	    1y    1c
-32456	  -2147474648	   -343.000	    1y    1c
-32356	  -2147471648	   1296.000	    1y    1c
-32256	  -2147468648	  -3125.000	    1y    1c
-32156	  -2147465648	   4096.000	    1y    1c
-32056	  -2147462648	  -2187.000	    1y    1c
-31956	  -2147459648	    256.000	    1y    1c
-31856	  -2147456648	     -1.000	    1y    1c
-31756	  -2147453648	      0.000	    1y    1c
-31656	  -2147450648	      1.000	    1y    1c
-31556	  -2147447648	   4096.000	    1y    1c
-31456	  -2147444648	1594323.000	    1y    1c
-31356	  -2147441648	 26.843e+07	    1y    1c
-31256	  -2147438648	 30.517e+09	    1y    1c
-31156	  -2147435648	 28.211e+11	    1y    1c
-31056	  -2147432648	 23.263e+13	    1y    1c
-30956	  -2147429648	 18.014e+15	    1y    1c
-30856	  -2147426648	 13.508e+17	    1y    1c
-30756	  -2147423648	 10.000e+19	    1y    1c
