  -127	-32656	  -2147480648	     -9.000	     64.000	    1y    1c02-feb-1902              	     $-9999996928.00

  -126	-32556	  -2147477648	   -343.000	   1296.000	    1y    1c03-mar-1903              	     $-9999993856.00

  -125	-32456	  -2147474648	  -3125.000	   4096.000	    1y    1c04-apr-1904              	     $-9999990784.00

  -124	-32356	  -2147471648	  -2187.000	    256.000	    1y    1c05-may-1905              	     $-9999987712.00

  -123	-32256	  -2147468648	     -1.000	      0.000	    1y    1c06-jun-1906              	     $-9999984640.00

  -122	-32156	  -2147465648	      1.000	   4096.000	    1y    1c07-jul-1907              	     $-9999981568.00

  -121	-32056	  -2147462648	1594323.000	 26.843e+07	    1y    1c08-aug-1908              	     $-9999978496.00

  -120	-31956	  -2147459648	 30.517e+09	 28.211e+11	    1y    1c09-sep-1909              	     $-9999975424.00

  -119	-31856	  -2147456648	 23.263e+13	 18.014e+15	    1y    1c10-oct-1910              	     $-9999972352.00

  -118	-31756	  -2147453648	 13.508e+17	 10.000e+19	    1y    1c11-nov-1911              	     $-9999969280.00

  -117	-31656	  -2147450648	-10.000e+20	 98.477e+19	    1y    1c12-dec-1912              	     $-9999966208.00

  -116	-31556	  -2147447648	-59.030e+19	 19.158e+19	    1y    1c13-jan-1913              	     $-9999963136.00

  -115	-31456	  -2147444648	-28.430e+18	 14.901e+17	    1y    1c14-feb-1914              	     $-9999960064.00

  -114	-31356	  -2147441648	-18.014e+15	 22.876e+12	    1y    1c15-mar-1915              	     $-9999956992.00

  -113	-31256	  -2147438648	-53.687e+07	      1.000	    1y    1c16-apr-1916              	     $-9999953920.00

  -112	-31156	  -2147435648	      0.000	      1.000	    1y    1c17-may-1917              	     $-9999950848.00

  -111	-31056	  -2147432648	 85.899e+08	 16.677e+15	    1y    1c18-jun-1918              	     $-9999947776.00

  -110	-30956	  -2147429648	 11.805e+20	 14.551e+24	    1y    1c19-jul-1919              	     $-9999944704.00

   -29	-22856	  -2147186648	      4.000	     -1.000	    1y    1c10-apr-1900              	     $-9999695872.00

   -28	-22756	  -2147183648	      0.000	      1.000	    1y    1c11-may-1901              	     $-9999692800.00

