-32656	  -2147480648	     64.000	    1y    1c
-32556	  -2147477648	   1296.000	    1y    1c
-32456	  -2147474648	   4096.000	    1y    1c
-32356	  -2147471648	    256.000	    1y    1c
-32256	  -2147468648	      0.000	    1y    1c
-32156	  -2147465648	   4096.000	    1y    1c
-32056	  -2147462648	 26.843e+07	    1y    1c
-31956	  -2147459648	 28.211e+11	    1y    1c
-31856	  -2147456648	 18.014e+15	    1y    1c
-31756	  -2147453648	 10.000e+19	    1y    1c
-31656	  -2147450648	 98.477e+19	    1y    1c
-31556	  -2147447648	 19.158e+19	    1y    1c
-31456	  -2147444648	 14.901e+17	    1y    1c
-31356	  -2147441648	 22.876e+12	    1y    1c
-31256	  -2147438648	      1.000	    1y    1c
-31156	  -2147435648	      1.000	    1y    1c
-31056	  -2147432648	 16.677e+15	    1y    1c
-30956	  -2147429648	 14.551e+24	    1y    1c
-30856	  -2147426648	 12.993e+31	    1y    1c
-30756	  -2147423648	      9.000	    1y    1c
