     1 ,          1 ,     1.00 ,         1.0000 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,     2 ,        101 ,     2.10 ,       101.1234 ,halloween  
     3 ,        201 ,     3.20 ,       201.2468 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,     4 ,        301 ,     4.30 ,       301.3702 ,halloween  
     5 ,        401 ,     5.40 ,       401.4936 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,     6 ,        501 ,     6.50 ,       501.6170 ,halloween  
     7 ,        601 ,     7.60 ,       601.7404 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,     8 ,        701 ,     8.70 ,       701.8638 ,halloween  
     9 ,        801 ,     9.80 ,       801.9872 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    10 ,        901 ,    10.90 ,       902.1106 ,halloween  
    11 ,       1001 ,    12.00 ,      1002.2340 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    12 ,       1101 ,    13.10 ,      1102.3574 ,halloween  
    13 ,       1201 ,    14.20 ,      1202.4808 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    14 ,       1301 ,    15.30 ,      1302.6042 ,halloween  
    15 ,       1401 ,    16.40 ,      1402.7276 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    16 ,       1501 ,    17.50 ,      1502.8510 ,halloween  
    17 ,       1601 ,    18.60 ,      1602.9744 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    18 ,       1701 ,    19.70 ,      1703.0978 ,halloween  
    19 ,       1801 ,    20.80 ,      1803.2212 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    20 ,       1901 ,    21.90 ,      1903.3446 ,halloween  
    21 ,       2001 ,    23.00 ,      2003.4680 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    22 ,       2101 ,    24.10 ,      2103.5914 ,halloween  
    23 ,       2201 ,    25.20 ,      2203.7148 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    24 ,       2301 ,    26.30 ,      2303.8382 ,halloween  
    25 ,       2401 ,    27.40 ,      2403.9616 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    26 ,       2501 ,    28.50 ,      2504.0850 ,halloween  
    27 ,       2601 ,    29.60 ,      2604.2084 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    28 ,       2701 ,    30.70 ,      2704.3318 ,halloween  
    29 ,       2801 ,    31.80 ,      2804.4552 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    30 ,       2901 ,    32.90 ,      2904.5786 ,halloween  
    31 ,       3001 ,    34.00 ,      3004.7020 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    32 ,       3101 ,    35.10 ,      3104.8254 ,halloween  
    33 ,       3201 ,    36.20 ,      3204.9488 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    34 ,       3301 ,    37.30 ,      3305.0722 ,halloween  
    35 ,       3401 ,    38.40 ,      3405.1956 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    36 ,       3501 ,    39.50 ,      3505.3190 ,halloween  
    37 ,       3601 ,    40.60 ,      3605.4424 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    38 ,       3701 ,    41.70 ,      3705.5658 ,halloween  
    39 ,       3801 ,    42.80 ,      3805.6892 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    40 ,       3901 ,    43.90 ,      3905.8126 ,halloween  
    41 ,       4001 ,    45.00 ,      4005.9360 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    42 ,       4101 ,    46.10 ,      4106.0594 ,halloween  
    43 ,       4201 ,    47.20 ,      4206.1828 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    44 ,       4301 ,    48.30 ,      4306.3062 ,halloween  
    45 ,       4401 ,    49.40 ,      4406.4296 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    46 ,       4501 ,    50.50 ,      4506.5530 ,halloween  
    47 ,       4601 ,    51.60 ,      4606.6764 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    48 ,       4701 ,    52.70 ,      4706.7998 ,halloween  
    49 ,       4801 ,    53.80 ,      4806.9232 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    50 ,       4901 ,    54.90 ,      4907.0466 ,halloween  
    51 ,       5001 ,    56.00 ,      5007.1700 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    52 ,       5101 ,    57.10 ,      5107.2934 ,halloween  
    53 ,       5201 ,    58.20 ,      5207.4168 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    54 ,       5301 ,    59.30 ,      5307.5402 ,halloween  
    55 ,       5401 ,    60.40 ,      5407.6636 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    56 ,       5501 ,    61.50 ,      5507.7870 ,halloween  
    57 ,       5601 ,    62.60 ,      5607.9104 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    58 ,       5701 ,    63.70 ,      5708.0338 ,halloween  
    59 ,       5801 ,    64.80 ,      5808.1572 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    60 ,       5901 ,    65.90 ,      5908.2806 ,halloween  
    61 ,       6001 ,    67.00 ,      6008.4040 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    62 ,       6101 ,    68.10 ,      6108.5274 ,halloween  
    63 ,       6201 ,    69.20 ,      6208.6508 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    64 ,       6301 ,    70.30 ,      6308.7742 ,halloween  
    65 ,       6401 ,    71.40 ,      6408.8976 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    66 ,       6501 ,    72.50 ,      6509.0210 ,halloween  
    67 ,       6601 ,    73.60 ,      6609.1444 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    68 ,       6701 ,    74.70 ,      6709.2678 ,halloween  
    69 ,       6801 ,    75.80 ,      6809.3912 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    70 ,       6901 ,    76.90 ,      6909.5146 ,halloween  
    71 ,       7001 ,    78.00 ,      7009.6380 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    72 ,       7101 ,    79.10 ,      7109.7614 ,halloween  
    73 ,       7201 ,    80.20 ,      7209.8848 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    74 ,       7301 ,    81.30 ,      7310.0082 ,halloween  
    75 ,       7401 ,    82.40 ,      7410.1316 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    76 ,       7501 ,    83.50 ,      7510.2550 ,halloween  
    77 ,       7601 ,    84.60 ,      7610.3784 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    78 ,       7701 ,    85.70 ,      7710.5018 ,halloween  
    79 ,       7801 ,    86.80 ,      7810.6252 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    80 ,       7901 ,    87.90 ,      7910.7486 ,halloween  
    81 ,       8001 ,    89.00 ,      8010.8720 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    82 ,       8101 ,    90.10 ,      8110.9954 ,halloween  
    83 ,       8201 ,    91.20 ,      8211.1188 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    84 ,       8301 ,    92.30 ,      8311.2422 ,halloween  
    85 ,       8401 ,    93.40 ,      8411.3656 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    86 ,       8501 ,    94.50 ,      8511.4890 ,halloween  
    87 ,       8601 ,    95.60 ,      8611.6124 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    88 ,       8701 ,    96.70 ,      8711.7358 ,halloween  
    89 ,       8801 ,    97.80 ,      8811.8592 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    90 ,       8901 ,    98.90 ,      8911.9826 ,halloween  
    91 ,       9001 ,   100.00 ,      9012.1060 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    92 ,       9101 ,   101.10 ,      9112.2294 ,halloween  
    93 ,       9201 ,   102.20 ,      9212.3528 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    94 ,       9301 ,   103.30 ,      9312.4762 ,halloween  
    95 ,       9401 ,   104.40 ,      9412.5996 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    96 ,       9501 ,   105.50 ,      9512.7230 ,halloween  
    97 ,       9601 ,   106.60 ,      9612.8464 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,    98 ,       9701 ,   107.70 ,      9712.9698 ,halloween  
    99 ,       9801 ,   108.80 ,      9813.0932 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,   100 ,       9901 ,   109.90 ,      9913.2166 ,halloween  
   101 ,      10001 ,   111.00 ,     10013.3400 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,   102 ,      10101 ,   112.10 ,     10113.4634 ,halloween  
   103 ,      10201 ,   113.20 ,     10213.5868 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,   104 ,      10301 ,   114.30 ,     10313.7102 ,halloween  
   105 ,      10401 ,   115.40 ,     10413.8336 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,   106 ,      10501 ,   116.50 ,     10513.9570 ,halloween  
   107 ,      10601 ,   117.60 ,     10614.0804 ,halloween  ,good-bye   ,     1.00 ,31-oct-1991 ,   108 ,      10701 ,   118.70 ,     10714.2038 ,halloween  
