     1 ,          1 ,     1.00 ,         1.0000 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,     2 ,        101 ,     2.10 ,       101.1234 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,     3 ,        201 ,     3.20 ,       201.2468 
     4 ,        301 ,     4.30 ,       301.3702 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,     5 ,        401 ,     5.40 ,       401.4936 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,     6 ,        501 ,     6.50 ,       501.6170 
     7 ,        601 ,     7.60 ,       601.7404 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,     8 ,        701 ,     8.70 ,       701.8638 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,     9 ,        801 ,     9.80 ,       801.9872 
    10 ,        901 ,    10.90 ,       902.1106 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    11 ,       1001 ,    12.00 ,      1002.2340 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    12 ,       1101 ,    13.10 ,      1102.3574 
    13 ,       1201 ,    14.20 ,      1202.4808 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    14 ,       1301 ,    15.30 ,      1302.6042 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    15 ,       1401 ,    16.40 ,      1402.7276 
    16 ,       1501 ,    17.50 ,      1502.8510 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    17 ,       1601 ,    18.60 ,      1602.9744 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    18 ,       1701 ,    19.70 ,      1703.0978 
    19 ,       1801 ,    20.80 ,      1803.2212 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    20 ,       1901 ,    21.90 ,      1903.3446 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    21 ,       2001 ,    23.00 ,      2003.4680 
    22 ,       2101 ,    24.10 ,      2103.5914 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    23 ,       2201 ,    25.20 ,      2203.7148 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    24 ,       2301 ,    26.30 ,      2303.8382 
    25 ,       2401 ,    27.40 ,      2403.9616 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    26 ,       2501 ,    28.50 ,      2504.0850 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    27 ,       2601 ,    29.60 ,      2604.2084 
    28 ,       2701 ,    30.70 ,      2704.3318 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    29 ,       2801 ,    31.80 ,      2804.4552 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    30 ,       2901 ,    32.90 ,      2904.5786 
    31 ,       3001 ,    34.00 ,      3004.7020 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    32 ,       3101 ,    35.10 ,      3104.8254 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    33 ,       3201 ,    36.20 ,      3204.9488 
    34 ,       3301 ,    37.30 ,      3305.0722 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    35 ,       3401 ,    38.40 ,      3405.1956 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    36 ,       3501 ,    39.50 ,      3505.3190 
    37 ,       3601 ,    40.60 ,      3605.4424 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    38 ,       3701 ,    41.70 ,      3705.5658 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    39 ,       3801 ,    42.80 ,      3805.6892 
    40 ,       3901 ,    43.90 ,      3905.8126 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    41 ,       4001 ,    45.00 ,      4005.9360 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    42 ,       4101 ,    46.10 ,      4106.0594 
    43 ,       4201 ,    47.20 ,      4206.1828 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    44 ,       4301 ,    48.30 ,      4306.3062 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    45 ,       4401 ,    49.40 ,      4406.4296 
    46 ,       4501 ,    50.50 ,      4506.5530 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    47 ,       4601 ,    51.60 ,      4606.6764 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    48 ,       4701 ,    52.70 ,      4706.7998 
    49 ,       4801 ,    53.80 ,      4806.9232 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    50 ,       4901 ,    54.90 ,      4907.0466 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    51 ,       5001 ,    56.00 ,      5007.1700 
    52 ,       5101 ,    57.10 ,      5107.2934 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    53 ,       5201 ,    58.20 ,      5207.4168 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    54 ,       5301 ,    59.30 ,      5307.5402 
    55 ,       5401 ,    60.40 ,      5407.6636 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    56 ,       5501 ,    61.50 ,      5507.7870 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    57 ,       5601 ,    62.60 ,      5607.9104 
    58 ,       5701 ,    63.70 ,      5708.0338 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    59 ,       5801 ,    64.80 ,      5808.1572 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    60 ,       5901 ,    65.90 ,      5908.2806 
    61 ,       6001 ,    67.00 ,      6008.4040 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    62 ,       6101 ,    68.10 ,      6108.5274 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    63 ,       6201 ,    69.20 ,      6208.6508 
    64 ,       6301 ,    70.30 ,      6308.7742 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    65 ,       6401 ,    71.40 ,      6408.8976 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    66 ,       6501 ,    72.50 ,      6509.0210 
    67 ,       6601 ,    73.60 ,      6609.1444 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    68 ,       6701 ,    74.70 ,      6709.2678 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    69 ,       6801 ,    75.80 ,      6809.3912 
    70 ,       6901 ,    76.90 ,      6909.5146 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    71 ,       7001 ,    78.00 ,      7009.6380 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    72 ,       7101 ,    79.10 ,      7109.7614 
    73 ,       7201 ,    80.20 ,      7209.8848 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    74 ,       7301 ,    81.30 ,      7310.0082 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    75 ,       7401 ,    82.40 ,      7410.1316 
    76 ,       7501 ,    83.50 ,      7510.2550 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    77 ,       7601 ,    84.60 ,      7610.3784 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    78 ,       7701 ,    85.70 ,      7710.5018 
    79 ,       7801 ,    86.80 ,      7810.6252 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    80 ,       7901 ,    87.90 ,      7910.7486 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    81 ,       8001 ,    89.00 ,      8010.8720 
    82 ,       8101 ,    90.10 ,      8110.9954 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    83 ,       8201 ,    91.20 ,      8211.1188 ,boy        ,good-bye   ,     1.00 ,01-jan-1991 ,    84 ,       8301 ,    92.30 ,      8311.2422 
