     1 ,          1 ,     1.00 ,         1.0000 ,roy        ,good-bye   ,     1.00 ,21-jul-1991 ,     2 ,        101 
     3 ,        201 ,     2.10 ,       101.1234 ,roy        ,good-bye   ,     1.00 ,21-jul-1991 ,     4 ,        301 
     5 ,        401 ,     3.20 ,       201.2468 ,roy        ,good-bye   ,     1.00 ,21-jul-1991 ,     6 ,        501 
     7 ,        601 ,     4.30 ,       301.3702 ,roy        ,good-bye   ,     1.00 ,21-jul-1991 ,     8 ,        701 
     9 ,        801 ,     5.40 ,       401.4936 ,roy        ,good-bye   ,     1.00 ,21-jul-1991 ,    10 ,        901 
    11 ,       1001 ,     6.50 ,       501.6170 ,roy        ,good-bye   ,     1.00 ,21-jul-1991 ,    12 ,       1101 
    13 ,       1201 ,     7.60 ,       601.7404 ,roy        ,good-bye   ,     1.00 ,21-jul-1991 ,    14 ,       1301 
    15 ,       1401 ,     8.70 ,       701.8638 ,roy        ,good-bye   ,     1.00 ,21-jul-1991 ,    16 ,       1501 
    17 ,       1601 ,     9.80 ,       801.9872 ,roy        ,good-bye   ,     1.00 ,21-jul-1991 ,    18 ,       1701 
    19 ,       1801 ,    10.90 ,       902.1106 ,roy        ,good-bye   ,     1.00 ,21-jul-1991 ,    20 ,       1901 
    21 ,       2001 ,    12.00 ,      1002.2340 ,roy        ,good-bye   ,     1.00 ,21-jul-1991 ,    22 ,       2101 
    23 ,       2201 ,    13.10 ,      1102.3574 ,roy        ,good-bye   ,     1.00 ,21-jul-1991 ,    24 ,       2301 
    25 ,       2401 ,    14.20 ,      1202.4808 ,roy        ,good-bye   ,     1.00 ,21-jul-1991 ,    26 ,       2501 
    27 ,       2601 ,    15.30 ,      1302.6042 ,roy        ,good-bye   ,     1.00 ,21-jul-1991 ,    28 ,       2701 
    29 ,       2801 ,    16.40 ,      1402.7276 ,roy        ,good-bye   ,     1.00 ,21-jul-1991 ,    30 ,       2901 
    31 ,       3001 ,    17.50 ,      1502.8510 ,roy        ,good-bye   ,     1.00 ,21-jul-1991 ,    32 ,       3101 
    33 ,       3201 ,    18.60 ,      1602.9744 ,roy        ,good-bye   ,     1.00 ,21-jul-1991 ,    34 ,       3301 
    35 ,       3401 ,    19.70 ,      1703.0978 ,roy        ,good-bye   ,     1.00 ,21-jul-1991 ,    36 ,       3501 
    37 ,       3601 ,    20.80 ,      1803.2212 ,roy        ,good-bye   ,     1.00 ,21-jul-1991 ,    38 ,       3701 
    39 ,       3801 ,    21.90 ,      1903.3446 ,roy        ,good-bye   ,     1.00 ,21-jul-1991 ,    40 ,       3901 
    41 ,       4001 ,    23.00 ,      2003.4680 ,roy        ,good-bye   ,     1.00 ,21-jul-1991 ,    42 ,       4101 
    43 ,       4201 ,    24.10 ,      2103.5914 ,roy        ,good-bye   ,     1.00 ,21-jul-1991 ,    44 ,       4301 
